Username;Game;In-game-time;Date
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 26m 41s 790ms (- place);26m 41s 790ms;2021-03-16
AndrewCrow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 20s 500ms (in-game time) (48th place);14m 20s 500ms ();2021-05-05
Ant3k;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 40s 050ms (in-game time) (162nd place);16m 40s 050ms ();2021-04-21
Ant3k;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 54s 800ms (in-game time) (- place);19m 54s 800ms ();2021-04-07
Antuu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 34s 800ms (in-game time) (155th place);16m 34s 800ms ();2021-04-13
Antuu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 51s 150ms (in-game time) (- place);22m 51s 150ms ();2021-01-17
asky;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 18m 43s 900ms (in-game time) (342nd place);18m 43s 900ms ();2021-05-03
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 24s 250ms (in-game time) (316th place);18m 24s 250ms ();2021-02-08
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 26s 400ms (in-game time) (- place);19m 26s 400ms ();2021-01-29
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 25s 250ms (in-game time) (- place);20m 25s 250ms ();2021-01-23
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 38s 060ms (in-game time) (- place);21m 38s 060ms ();2021-01-22
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 09s 650ms (in-game time) (- place);23m 09s 650ms ();2021-01-07
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 30m 18s 540ms (in-game time) (- place);30m 18s 540ms ();2020-12-23
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 30m 39s 900ms (in-game time) (- place);30m 39s 900ms ();2020-12-22
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16, Normal, F3, CaffeineMC)						 38m 25s 080ms (in-game time) (- place);38m 25s 080ms ();2020-12-02
Aspect30;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 40m 56s (in-game time) (- place);40m 56s ();2020-11-24
Asterie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 30s (in-game time) (323rd place);18m 30s ();2021-06-19
Asterie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 16s (in-game time) (- place);27m 16s ();2021-04-14
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 06s 300ms (in-game time) (73rd place);15m 06s 300ms ();2021-04-16
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 57s (in-game time) (- place);15m 57s ();2021-02-13
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 03s 600ms (in-game time) (- place);18m 03s 600ms ();2021-01-30
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 41s 600ms (in-game time) (- place);19m 41s 600ms ();2021-01-15
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 02s 200ms (in-game time) (- place);21m 02s 200ms ();2020-09-20
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 26s 280ms (in-game time) (- place);22m 26s 280ms ();2020-08-28
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 26m 27s 390ms (in-game time) (- place);26m 27s 390ms ();2020-08-16
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 33m 25s 890ms (in-game time) (- place);33m 25s 890ms ();2020-08-12
AutomattPL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 38m 51s 240ms (in-game time) (- place);38m 51s 240ms ();2020-08-07
avieuwu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 11s 050ms (in-game time) (385th place);19m 11s 050ms ();2021-06-10
avieuwu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 48s 800ms (in-game time) (- place);22m 48s 800ms ();2021-05-01
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 05s 400ms (in-game time) (126th place);16m 05s 400ms ();2021-06-08
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 39s 500ms (in-game time) (- place);16m 39s 500ms ();2021-05-06
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 56s 300ms (in-game time) (- place);18m 56s 300ms ();2021-04-18
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 40s 650ms (in-game time) (- place);20m 40s 650ms ();2021-04-16
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 24s 450ms (in-game time) (- place);22m 24s 450ms ();2021-04-15
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 30s 850ms (in-game time) (- place);22m 30s 850ms ();2021-04-12
Ax3roth;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 29m 52s 670ms (in-game time) (- place);29m 52s 670ms ();2021-01-07
BABEBA;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 53s 900ms (in-game time) (271st place);17m 53s 900ms ();2021-03-27
BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 29s (in-game time) (321st place);18m 29s ();2021-05-28
BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 49s (in-game time) (- place);19m 49s ();2021-05-14
BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 13s (in-game time) (- place);21m 13s ();2021-05-03
