Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
1567th,geofella,1h 13m 22s 070ms,1h 13m 22s 070ms,1h 13m 22s 070ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/geofella
1568th,Bossbot,1h 13m 23s,1h 13m 23s,1h 13m 23s (in-game time),1.16.1,Normal,No F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/Bossbot
1569th,JustThano1,1h 15m 57s 042ms,1h 13m 34s 040ms,1h 13m 34s 040ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/JustThano1
1570th,Godej102,1h 13m 39s 053ms,1h 13m 35s 150ms,1h 13m 35s 150ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Godej102
1571st,Urteusz,1h 13m 43s 093ms,1h 13m 41s 090ms,1h 13m 41s 090ms (in-game time),1.16.1,Normal,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Urteusz
1572nd,iJevin,1h 13m 46s 062ms,1h 13m 46s 062ms,1h 13m 46s 062ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/iJevin
1573rd,Sekkii,1h 13m 50s 052ms,1h 13m 50s 052ms,1h 13m 50s 052ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Sekkii
1574th,ParkerEditsYT,1h 14m 08s 150ms,1h 14m 07s 200ms,1h 14m 07s 200ms (in-game time),1.16.1,Easy,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/ParkerEditsYT
1575th,UserDoesNotExist,1h 14m 16s,1h 14m 16s,1h 14m 16s (in-game time),1.16.4,Normal,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/UserDoesNotExist
1576th,Raxadore,1h 14m 35s 980ms,1h 14m 35s 980ms,1h 14m 35s 980ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Raxadore
