Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
PurplePython01PurplePython01,15m 58s 001ms,15m 57s 088ms,1.16,1.16.1,Normal,F3,2021-05-30,PurplePython01
Thananiel_Thananiel_,16m 02s 180ms,15m 59s 950ms,1.16,1.16.1,Easy,F3,2021-02-21,Thananiel_
-JRD--JRD-,16m 20s 000ms,16m 02s 000ms,1.16,1.16.1,Easy,F3,2021-04-29,-JRD-
mralanmanmralanman,16m 06s 044ms,16m 04s 035ms,1.16,1.16.1,Easy,F3,2021-05-11,mralanman
ClimbingSum34ClimbingSum34,16m 15s 300ms,16m 05s,1.16,1.16.1,Easy,F3,2021-05-16,ClimbingSum34
MegaKoeMegaKoe,16m 14s 040ms,16m 06s 550ms,1.16,1.16.1,Normal,F3,2021-05-04,MegaKoe
Alex_202Alex_202,16m 09s 014ms,16m 09s 065ms,1.16,1.16.1,Normal,F3,2021-05-24,Alex_202
Zakko_Zakko_,16m 22s,16m 15s 650ms,1.16,1.16.1,Normal,F3,2021-05-13,Zakko_
pistaciumpistacium,16m 31s 869ms,16m 19s 050ms,1.16,1.16.1,Easy,F3,2021-06-14,pistacium
ElRichiElRichi,16m 25s 650ms,16m 19s 900ms,1.16,1.16.1,Easy,F3,2021-03-13,ElRichi
ADANDOCADANDOC,16m 27s 620ms,16m 27s 950ms,1.16,1.16.1,Normal,F3,2021-03-03,ADANDOC
ricikk_ricikk_,16m 29s 250ms,16m 29s 250ms,1.16,1.16.1,Easy,F3,2021-04-12,ricikk_
MithilMithil,17m 06s 470ms,16m 30s 350ms,1.0,1.16.1,Easy,F3,2021-06-14,Mithil
bepz64bepz64,16m 38s 003ms,16m 31s 065ms,1.16,1.16.1,Easy,F3,2021-05-31,bepz64
BesaliskBesalisk,16m 57s 043ms,16m 31s 085ms,1.16,1.16.1,Easy,F3,2021-05-08,Besalisk
Astro_The_DogAstro_The_Dog,16m 52s 080ms,16m 35s 950ms,1.16,1.16.1,Easy,F3,2021-03-22,Astro_The_Dog
temp_gdtemp_gd,16m 42s 970ms,16m 36s 550ms,1.16,1.16.1,Easy,F3,2021-02-15,temp_gd
gorgazgorgaz,17m 19s 032ms,16m 38s 040ms,1.16,1.16.1,Easy,F3,2021-05-10,gorgaz
lepmislepmis,17m 00s 680ms,16m 38s 150ms,1.16,1.16.1,Easy,F3,2021-06-15,lepmis
