Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
Venitroll,21m 05s 380ms,20m 43s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Besiak
Besiak,21m 22s 750ms,20m 44s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/BubblyT
BubblyT,21m 19s 570ms,20m 44s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ToOgFyre
ToOgFyre,21m 00s,20m 45s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/CFY_
CFY_,21m 06s 300ms,20m 45s 500ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/LudvigL
LudvigL,21m 55s 100ms,20m 45s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Howwyl
Howwyl,20m 56s 290ms,20m 45s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Xandergoose
Xandergoose,21m 15s 070ms,20m 46s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/soccerdude24663
soccerdude24663,20m 46s 950ms,20m 46s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/lulziggy
lulziggy,20m 56s 680ms,20m 47s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/sowurai
sowurai,20m 48s 130ms,20m 48s 130ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Dawidluna
Dawidluna,21m 49s 250ms,20m 48s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/synapsolus
synapsolus,20m 00s 980ms,20m 48s 300ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Dimmy4
Dimmy4,20m 49s,20m 49s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TZADIKs
TZADIKs,22m 00s,20m 49s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/EdTheSurvivor
EdTheSurvivor,20m 49s 070ms,20m 49s 070ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/F1LIPINO
F1LIPINO,20m 55s 990ms,20m 49s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/biased
biased,21m 38s 043ms,20m 50s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Nolif
Nolif,20m 51s 069ms,20m 51s 069ms,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/Yoopicul
Yoopicul,20m 53s 300ms,20m 53s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Four
Four,24m 42s 900ms,20m 53s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Colerksen
Colerksen,21m 04s 110ms,20m 53s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/LaMorra
LaMorra,21m 05s 002ms,20m 54s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Hartulino
Hartulino,20m 57s,20m 54s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Champion0407
Champion0407,21m 04s 890ms,20m 58s 490ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/endguiap
endguiap,21m 34s 650ms,20m 58s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Cizzorz
Cizzorz,21m 01s 840ms,20m 59s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/WalLaaWeyhh
WalLaaWeyhh,21m 14s 670ms,20m 59s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ttvCuffep
ttvCuffep,21m 08s 310ms,21m 00s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/RaeveZ
RaeveZ,21m 02s 590ms,21m 00s 050ms,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/Anitery
Anitery,22m 34s 020ms,21m 03s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TerrellBruh
TerrellBruh,21m 27s,21m 04s,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Sampstah
Sampstah,22m 20s 640ms,21m 04s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/dam1r
dam1r,22m 41s 640ms,21m 04s 300ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/furk1e
furk1e,22m 05s,21m 05s 400ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Oskar33
Oskar33,21m 46s 010ms,21m 05s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Lythium
Lythium,21m 24s 510ms,21m 06s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Remeli
Remeli,22m 39s 860ms,21m 06s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/RioStorey
RioStorey,21m 10s 340ms,21m 08s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/calc1um
calc1um,21m 10s 920ms,21m 08s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Turtlz
